COMMAND     PID     USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
cmsRun      505  cms0373  154u  IPv4 52402552      0t0  TCP cms-a008.rcac.purdue.edu:38818->squid2.rcac.purdue.edu:squid (CLOSE_WAIT)
cmsRun      505  cms0373  164u  IPv4 53818229      0t0  TCP cms-a008.rcac.purdue.edu:57461->cms-a037.rcac.purdue.edu:rootd (ESTABLISHED)
cmsRun      582  cms0373  154u  IPv4 52403712      0t0  TCP cms-a008.rcac.purdue.edu:58990->squid3.rcac.purdue.edu:squid (CLOSE_WAIT)
cmsRun      582  cms0373  165u  IPv4 53639859      0t0  TCP cms-a008.rcac.purdue.edu:42610->cms-a020.rcac.purdue.edu:rootd (ESTABLISHED)
cmsRun      764  cms1077   10u  IPv4 53967283      0t0  TCP cms-a008.rcac.purdue.edu:57887->squid2.rcac.purdue.edu:squid (CLOSE_WAIT)
cmsRun      764  cms1077  147u  IPv4 55473123      0t0  TCP cms-a008.rcac.purdue.edu:50202->xrootd.rcac.purdue.edu:rootd (ESTABLISHED)
cmsRun      764  cms1077  151u  IPv4 53955744      0t0  TCP cms-a008.rcac.purdue.edu:58274->cms-c008.rcac.purdue.edu:rootd (ESTABLISHED)
cmsRun      764  cms1077  157u  IPv4 55473131      0t0  TCP cms-a008.rcac.purdue.edu:51293->cms-d001.rcac.purdue.edu:rootd (ESTABLISHED)
cmsd        823   xrootd   14u  IPv4 55494889      0t0  TCP *:54391 (LISTEN)
cmsd        823   xrootd   20u  IPv4 55495056      0t0  TCP cms-a008.rcac.purdue.edu:52188->xrootd.rcac.purdue.edu:3121 (ESTABLISHED)
condor_st  1002 cmsprod7    9u  IPv4 55516458      0t0  TCP cms-a008.rcac.purdue.edu:45783->cmssrv112.fnal.gov:9615 (ESTABLISHED)
condor_st  1002 cmsprod7   10u  IPv4 55516492      0t0  TCP cms-a008.rcac.purdue.edu:46943->vocms97.cern.ch:9780 (ESTABLISHED)
condor_st  1002 cmsprod7   12u  IPv4 55516539      0t0  TCP cms-a008.rcac.purdue.edu:36018->cmssrv119.fnal.gov:9780 (ESTABLISHED)
condor_st  1002 cmsprod7   14u  IPv4 55516462      0t0  TCP *:56301 (LISTEN)
condor_st  1002 cmsprod7   15u  IPv4 55516461      0t0  TCP localhost:52724->localhost:54374 (ESTABLISHED)
condor_ma  1468  cms1352    7u  IPv4 52333223      0t0  TCP *:51141 (LISTEN)
condor_ma  1468  cms1352    8u  IPv4 52333235      0t0  TCP cms-a008.rcac.purdue.edu:46568->glidein-collector-2.t2.ucsd.edu:sd (ESTABLISHED)
condor_ma  1468  cms1352   10u  IPv4 52333250      0t0  TCP cms-a008.rcac.purdue.edu:60401->glidein-collector.t2.ucsd.edu:sd (ESTABLISHED)
condor_ma  1468  cms1352   11u  IPv4 52333855      0t0  TCP cms-a008.rcac.purdue.edu:52118->glidein-collector-2.t2.ucsd.edu:sd (ESTABLISHED)
condor_ma  1468  cms1352   14u  IPv4 55488509      0t0  TCP cms-a008.rcac.purdue.edu:54765->glidein-collector.t2.ucsd.edu:sd (ESTABLISHED)
condor_st  1472  cms1352    6u  IPv4 52333340      0t0  TCP cms-a008.rcac.purdue.edu:53466->glidein-collector-2.t2.ucsd.edu:sd (ESTABLISHED)
condor_st  1472  cms1352    8u  IPv4 52333386      0t0  TCP cms-a008.rcac.purdue.edu:54146->glidein-collector.t2.ucsd.edu:sd (ESTABLISHED)
condor_st  1472  cms1352    9u  IPv4 55471496      0t0  TCP cms-a008.rcac.purdue.edu:52464->glidein-collector.t2.ucsd.edu:sd (ESTABLISHED)
condor_st  1472  cms1352   10u  IPv4 52333888      0t0  TCP cms-a008.rcac.purdue.edu:47328->glidein-collector-2.t2.ucsd.edu:sd (ESTABLISHED)
condor_st  1472  cms1352   11u  IPv4 52333283      0t0  TCP *:38616 (LISTEN)
condor_st  1472  cms1352   13u  IPv4 52374860      0t0  TCP localhost:43096->localhost:57865 (ESTABLISHED)
cvmfs2     2267    cvmfs   33u  IPv4    32418      0t0  TCP cms-a008.rcac.purdue.edu:37082->squid3.rcac.purdue.edu:squid (CLOSE_WAIT)
cvmfs2     2267    cvmfs   35u  IPv4 55224798      0t0  TCP cms-a008.rcac.purdue.edu:44628->squid3.rcac.purdue.edu:squid (CLOSE_WAIT)
condor_st  2522   condor    7u  IPv4 52336608      0t0  TCP cms-a008.rcac.purdue.edu:erunbook_server->cmstest1.rcac.purdue.edu:60310 (ESTABLISHED)
condor_st  2522   condor   37u  IPv4 52336646      0t0  TCP localhost:52157->localhost:55448 (ESTABLISHED)
cvmfs2     3213    cvmfs   33u  IPv4    32422      0t0  TCP cms-a008.rcac.purdue.edu:45276->squid1.rcac.purdue.edu:squid (CLOSE_WAIT)
cvmfs2     3213    cvmfs   41u  IPv4 55268511      0t0  TCP cms-a008.rcac.purdue.edu:56011->squid1.rcac.purdue.edu:squid (CLOSE_WAIT)
portreser  3531     root    5u  IPv4    14430      0t0  UDP *:ipp 
rsyslogd   3538     root    2u  IPv4    19030      0t0  UDP *:34328 
rsyslogd   3538     root    4u  IPv4    19035      0t0  UDP *:33698 
rsyslogd   3538     root    5u  IPv4    19040      0t0  UDP *:43026 
rpcbind    3640      rpc    6u  IPv4    14847      0t0  UDP *:sunrpc 
rpcbind    3640      rpc    7u  IPv4    14849      0t0  UDP *:dhcp-failover2 
