[ahkumar@smuosg1 ~]$ condor_q


-- Submitter: smuosg1.hpc.smu.edu : <10.1.1.3:50503> : smuosg1.hpc.smu.edu
 ID      OWNER            SUBMITTED     RUN_TIME ST PRI SIZE CMD
598446.0   osg            10/6  10:13 [?????]      H  0   1220.7 data
598457.0   osg            10/6  10:18 [?????]      H  0   732.4 data
598464.0   osg            10/6  10:23 [?????]      H  0   732.4 data
598471.0   osg            10/6  10:29 [?????]      H  0   732.4 data
598501.0   osg            10/6  10:45 [?????]      H  0   732.4 data
598517.0   osg            10/6  10:51 [?????]      H  0   732.4 data
598529.0   osg            10/6  10:56 [?????]      H  0   732.4 data
598569.0   osg            10/6  11:18 [?????]      H  0   1220.7 data
598570.0   osg            10/6  11:18 [?????]      H  0   732.4 data
598574.0   osg            10/6  11:22 [?????]      H  0   732.4 data
598617.0   osg            10/6  11:44 [?????]      H  0   1220.7 data
598645.0   osg            10/6  12:01 [?????]      H  0   732.4 data
598647.0   osg            10/6  12:01 [?????]      H  0   732.4 data
598657.0   osg            10/6  12:06 [?????]      H  0   732.4 data
598666.0   osg            10/6  12:12 [?????]      H  0   732.4 data
598674.0   osg            10/6  12:14 [?????]      H  0   732.4 data
598675.0   osg            10/6  12:14 [?????]      H  0   1220.7 data
598679.0   osg            10/6  12:16 [?????]      H  0   732.4 data
598687.0   osg            10/6  12:21 [?????]      H  0   732.4 data
598698.0   osg            10/6  12:28 [?????]      H  0   732.4 data
598711.0   osg            10/6  12:34 [?????]      H  0   732.4 data
598714.0   osg            10/6  12:34 [?????]      H  0   732.4 data
598737.0   osg            10/6  17:07 [?????]      H  0   732.4 data
598745.0   osg            10/6  17:12 [?????]      H  0   732.4 data
598757.0   osg            10/7  14:36 [?????]      H  0   732.4 data
598763.0   osg            10/7  14:36 [?????]      H  0   732.4 data
598773.0   osg            10/7  14:36 [?????]      H  0   732.4 data
598812.0   osg            10/7  15:27 [?????]      H  0   732.4 data
598817.0   osg            10/7  15:28 [?????]      H  0   732.4 data
598841.0   osg            10/7  15:37 [?????]      H  0   732.4 data
598842.0   osg            10/7  15:37 [?????]      H  0   732.4 data
598844.0   osg            10/7  15:37 [?????]      H  0   732.4 data
598887.0   osg            10/7  15:53 [?????]      H  0   0.0  data
598892.0   osg            10/7  15:53 [?????]      H  0   0.0  data
598913.0   osg            10/7  15:59 [?????]      H  0   0.0  data
