09/17/14 19:14:33 ******************************************************
09/17/14 19:14:33 ** condor_gridmanager (CONDOR_GRIDMANAGER) STARTING UP
09/17/14 19:14:33 ** /usr/sbin/condor_gridmanager
09/17/14 19:14:33 ** SubsystemInfo: name=GRIDMANAGER type=DAEMON(12) class=DAEMON(1)
09/17/14 19:14:33 ** Configuration: subsystem:GRIDMANAGER local:<NONE> class:DAEMON
09/17/14 19:14:33 ** $CondorVersion: 8.0.6 Mar 25 2014 $
09/17/14 19:14:33 ** $CondorPlatform: X86_64-CentOS_5.10 $
09/17/14 19:14:33 ** PID = 18273
09/17/14 19:14:33 ** Log last touched 9/12 07:50:44
09/17/14 19:14:33 ******************************************************
09/17/14 19:14:33 Using config source: /etc/condor/condor_config
09/17/14 19:14:33 Using local config sources: 
09/17/14 19:14:33    /etc/condor/config.d/00personal_condor.config
09/17/14 19:14:33    /etc/condor/config.d/99_gratia.conf
09/17/14 19:14:33    /etc/condor/config.d/ce.conf
09/17/14 19:14:33    /etc/condor/config.d/osg-condor-event-publisher-simple.conf
09/17/14 19:14:33 Daemon Log is logging: D_ALWAYS D_ERROR
09/17/14 19:14:33 DaemonCore: command socket at <129.79.53.31:41627>
09/17/14 19:14:33 DaemonCore: private command socket at <129.79.53.31:41627>
09/17/14 19:14:36 [18273] Found job 1464.0 --- inserting
09/17/14 19:14:36 [18273] gahp server not up yet, delaying ping
09/17/14 19:14:36 [18273] GAHP server not initialized yet, not submitting grid_monitor now
09/17/14 19:14:36 [18273] (1464.0) doEvaluateState called: gmState GM_INIT, globusState 32
09/17/14 19:14:36 [18273] GAHP server pid = 18276
09/17/14 19:14:38 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMIT, globusState 32
09/17/14 19:14:42 [18273] resource valiant.phys.vt.edu:2119 is now up
09/17/14 19:14:42 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMIT, globusState 32
09/17/14 19:14:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMIT, globusState 32
09/17/14 19:14:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMIT_SAVE, globusState 32
09/17/14 19:14:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMIT_COMMIT, globusState 32
09/17/14 19:14:43 [18273] (1464.0) gram callback: state 64, errorcode 0
09/17/14 19:14:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 32
09/17/14 19:14:44 [18273] (1464.0) gram callback: state 1, errorcode 0
09/17/14 19:14:44 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 64
09/17/14 19:19:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:19:43 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:24:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:24:43 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:29:43 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:29:44 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:34:44 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:34:44 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:39:44 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:39:44 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:44:44 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:44:45 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:49:45 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:49:45 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:54:45 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:54:45 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 19:59:45 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 19:59:46 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:04:46 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:04:46 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:09:46 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:09:46 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:14:46 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:14:46 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:19:46 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:19:47 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:24:47 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:24:47 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:29:47 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:29:47 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:34:47 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:34:48 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:39:48 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:39:48 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:44:48 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:44:49 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:49:49 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:49:49 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:54:49 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:54:49 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 20:59:49 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 20:59:50 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:04:50 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:04:50 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:09:50 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:09:50 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:14:50 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:14:51 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:19:51 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:19:51 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:24:51 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:24:51 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:29:51 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:29:51 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:34:51 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:34:52 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:39:52 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:39:52 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:44:52 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:44:53 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:49:53 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:49:53 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:54:53 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:54:53 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 21:59:53 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 21:59:53 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:04:53 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:04:54 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
09/17/14 22:09:54 [18273] (1464.0) doEvaluateState called: gmState GM_SUBMITTED, globusState 1
09/17/14 22:09:54 [18273] (1464.0) doEvaluateState called: gmState GM_PROBE_JOBMANAGER, globusState 1
