START TIME      	DURATION (s)
2015-05-09 22:05:04	597
2015-05-09 22:17:53	428
2015-05-09 22:27:49	1032
2015-05-09 22:49:31	330
2015-05-09 22:59:40	22
2015-05-09 23:00:14	287
2015-05-09 23:05:02	1199
2015-05-09 23:07:46	136
2015-05-09 23:14:30	31
2015-05-09 23:19:48	14
2015-05-09 23:24:08	53
2015-05-09 23:26:29	812
2015-05-09 23:26:34	207
2015-05-09 23:32:41	140
2015-05-09 23:39:47	14
2015-05-09 23:42:03	1078
2015-05-09 23:44:41	20
2015-05-09 23:47:18	464
2015-05-09 23:57:45	1636
2015-05-10 00:03:59	362
2015-05-10 00:14:34	27
2015-05-10 00:19:50	11
2015-05-10 00:23:57	664
2015-05-10 00:29:51	10
2015-05-10 00:34:05	56
2015-05-10 00:39:28	33
2015-05-10 00:39:31	930
2015-05-10 00:43:54	67
2015-05-10 00:48:59	63
2015-05-10 00:54:46	15
2015-05-10 00:57:30	451
2015-05-10 00:58:59	662
2015-05-10 01:09:01	60
2015-05-10 01:13:19	102
2015-05-10 01:13:53	68
2015-05-10 01:17:19	163
2015-05-10 01:18:26	96
2015-05-10 01:21:22	219
2015-05-10 01:23:06	115
2015-05-10 01:27:22	159
2015-05-10 01:29:42	19
2015-05-10 01:32:42	139
2015-05-10 01:33:31	90
2015-05-10 01:36:57	184
2015-05-10 01:38:29	92
2015-05-10 01:41:39	202
2015-05-10 01:43:37	84
2015-05-10 01:47:18	163
2015-05-10 01:49:05	56
2015-05-10 01:53:16	105
2015-05-10 01:53:31	90
2015-05-10 01:57:44	138
2015-05-10 01:59:24	38
2015-05-10 02:00:48	553
2015-05-10 02:02:30	451
2015-05-10 02:14:14	648
2015-05-10 02:14:14	648
2015-05-10 02:28:46	675
2015-05-10 02:28:46	975
2015-05-10 02:44:41	921
2015-05-10 02:47:42	740
2015-05-10 03:01:15	826
2015-05-10 03:01:15	826
2015-05-10 03:16:51	1090
2015-05-10 03:18:00	1021
2015-05-10 03:35:22	279
2015-05-10 03:35:22	279
2015-05-10 03:43:52	69
2015-05-10 03:43:53	68
2015-05-10 03:47:53	128
2015-05-10 03:51:38	505
2015-05-10 04:01:55	487
2015-05-10 04:11:06	535
2015-05-10 04:22:08	773
2015-05-10 04:36:29	212
2015-05-10 04:43:22	399
2015-05-10 04:52:07	174
2015-05-10 05:00:01	1
2015-05-10 05:03:46	75
2015-05-10 05:09:14	47
2015-05-10 05:14:37	24
2015-05-10 05:18:19	103
2015-05-10 22:05:04	597
2015-05-10 22:18:22	399
2015-05-10 22:27:52	131
2015-05-10 22:33:59	362
2015-05-10 22:44:57	604
2015-05-10 23:00:00	901
2015-05-10 23:05:04	597
2015-05-10 23:16:56	785
2015-05-10 23:17:37	1044
2015-05-10 23:30:49	852
2015-05-10 23:36:36	505
2015-05-10 23:46:21	821
2015-05-10 23:46:34	808
2015-05-11 00:00:38	863
2015-05-11 00:00:38	863
2015-05-11 00:15:31	871
2015-05-11 00:15:32	870
2015-05-11 00:33:12	709
2015-05-11 00:33:16	705
2015-05-11 00:46:10	531
2015-05-11 00:46:23	518
2015-05-11 00:57:55	126
2015-05-11 00:57:55	126
2015-05-11 01:04:18	43
2015-05-11 01:04:58	3
2015-05-11 01:09:50	311
2015-05-11 01:09:58	3
2015-05-11 01:14:07	54
2015-05-11 01:17:23	759
2015-05-11 01:19:20	41
2015-05-11 01:20:48	253
2015-05-11 01:28:13	1008
2015-05-11 01:32:01	481
2015-05-11 01:40:40	861
2015-05-11 01:48:58	63
2015-05-11 01:54:55	6
2015-05-11 01:56:18	224
2015-05-11 01:59:27	35
2015-05-11 02:04:10	651
2015-05-11 02:04:14	47
2015-05-11 02:09:32	29
2015-05-11 02:14:47	14
2015-05-11 02:15:20	881
2015-05-11 02:20:00	1
2015-05-11 02:24:33	1228
2015-05-11 02:33:44	977
2015-05-11 02:47:50	1631
2015-05-11 02:53:11	710
2015-05-11 03:09:29	1532
2015-05-11 03:15:48	253
2015-05-11 03:24:47	14
2015-05-11 03:29:42	19
2015-05-11 03:33:11	1010
2015-05-11 03:35:56	845
2015-05-11 03:51:31	1410
2015-05-11 03:52:45	1037
2015-05-11 04:11:32	1111
2015-05-11 04:15:55	246
2015-05-11 04:24:40	21
2015-05-11 04:29:36	27
2015-05-11 04:30:17	884
2015-05-11 04:33:47	674
2015-05-11 04:45:56	846
2015-05-11 04:47:25	757
2015-05-11 05:00:52	849
2015-05-11 05:04:44	17
2015-05-11 05:08:27	394
2015-05-11 05:17:55	1026
2015-05-11 05:18:28	94
2015-05-11 05:24:22	39
2015-05-11 22:05:04	597
2015-05-11 22:18:33	388
2015-05-11 22:28:44	1277
2015-05-11 22:51:20	221
2015-05-11 22:58:55	67
2015-05-11 23:01:31	210
2015-05-11 23:05:04	1197
2015-05-11 23:08:12	110
2015-05-11 23:14:27	34
2015-05-11 23:19:27	35
2015-05-11 23:23:41	80
2015-05-11 23:25:50	851
2015-05-11 23:25:59	243
2015-05-11 23:33:32	89
2015-05-11 23:38:19	102
2015-05-11 23:43:01	1021
2015-05-11 23:44:51	10
2015-05-11 23:45:25	576
2015-05-11 23:57:07	1975
2015-05-12 00:03:55	367
2015-05-12 00:14:52	9
2015-05-12 00:19:22	40
2015-05-12 00:23:13	1308
2015-05-12 00:33:30	392
2015-05-12 00:43:59	62
2015-05-12 00:47:48	1033
2015-05-12 00:49:43	19
2015-05-12 00:51:15	226
2015-05-12 00:59:12	51
2015-05-12 01:03:24	97
2015-05-12 01:07:37	444
