#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
atlas02.chtc.wisc.edu:2755850.2,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas85.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2755850.3,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas84.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2760178.2,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas88.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2760178.3,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas88.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2763632.4,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas65.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2766489.1,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas63.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2766489.2,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas65.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2767835.3,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas65.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2767835.4,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas63.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2767835.6,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas63.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2772791.2,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas63.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2774263.2,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas78.chtc.wisc.edu (primary),,,Failure
atlas02.chtc.wisc.edu:2777012.2,Payload,condor:atlas02.chtc.wisc.edu,CHTC,Local Job,atlas63.chtc.wisc.edu (primary),,,Failure
