RecordID,@received,EndTime,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch
sub-simprod.icecube.wisc.edu:25903.65,2017-02-07T23:53:20.323Z,2017-02-07T23:40:09Z,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,CHTC,e336.chtc.wisc.edu (primary) ,,CHTC,Success
login01.osgconnect.net:2912069.1646,2017-02-04T15:24:34.716Z,2017-02-04T15:20:08Z,Payload,condor:login01.osgconnect.net,OSG-Connect,GLOW,atlas27.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:3884383.1196,2017-02-05T04:31:16.353Z,2017-02-05T04:07:31Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e174.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:913191.634,2017-02-05T02:13:14.017Z,2017-02-05T02:06:02Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e074.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login02.osgconnect.net:1412609.1963,2017-02-07T21:48:39.187Z,2017-02-07T21:41:46Z,Payload,condor:login02.osgconnect.net,OSG-Connect,GLOW,e405.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:56952.991,2017-02-04T08:51:44.038Z,2017-02-04T08:37:11Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,g19n05.hep.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:498761.667,2017-02-04T22:37:37.026Z,2017-02-04T22:29:46Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e074.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login06.hep.wisc.edu:2594925.226,2017-02-04T10:31:23.380Z,2017-02-04T10:25:28Z,Payload,condor:login06.hep.wisc.edu,GLOW_SUBMIT6,GLOW_SUBMIT6,e447.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
xd-login.opensciencegrid.org:3093932.587,2017-02-04T19:18:11.582Z,2017-02-04T19:12:12Z,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e086.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login05.hep.wisc.edu:3327020.870,2017-02-04T10:32:41.332Z,2017-02-04T10:12:53Z,Payload,condor:login05.hep.wisc.edu,GLOW_SUBMIT5,GLOW_SUBMIT5,e263.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
login06.hep.wisc.edu:2594925.221,2017-02-04T10:31:23.367Z,2017-02-04T10:25:49Z,Payload,condor:login06.hep.wisc.edu,GLOW_SUBMIT6,GLOW_SUBMIT6,e167.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
