

OSG efficiency summary by Site & VO for  2017-04-01 - 2017-05-01 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-01 and 2017-05-01 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  1   | AGLT2_CE_2             | atlas           |         1 |         0 |    -3,127 |         0 |          0 |      0.00 |  0.00 |     0 |     0
  2   | AGLT2_CE_2             | osg             |         1 |    93,123 |    33,471 | 191,934.4 |      1,099 |      0.76 | -0.05 |    76 |    -5
  3   | AGLT2_SL6              | atlas           |         1 |   361,435 |  -134,722 | 1,716,796.9 |   -399,313 |      0.94 |  0.05 |    94 |     5
  4   | AGLT2_SL6              | atlas           |         8 |   113,609 |     9,186 | 362,080.0 |   -184,594 |      5.53 | -0.92 |    69 |   -12
  5   | ATLASConnect           | atlas           |         1 |   287,931 |   192,416 |  76,433.4 |     16,012 |      0.37 |  0.23 |    37 |    23
  6   | BNL_ATLAS_2            | atlas           |         1 |   118,897 |   -45,341 | 257,132.8 |    -46,907 |      0.87 |  0.03 |    87 |     3
  7   | BNL_ATLAS_2            | atlas           |         2 |    23,086 |   -62,619 |   1,961.9 |     -2,992 |      0.41 |  0.16 |    21 |     9
  8   | BNL_ATLAS_2            | atlas           |         8 |    37,266 |     4,909 | 112,641.4 |    -12,428 |      6.26 | -0.50 |    78 |    -7
  9   | BNL_ATLAS_2            | cms             |         1 |     9,603 |    -4,497 |      57.5 |        -30 |      0.12 |  0.01 |    12 |     1
  10  | BNL_ATLAS_2            | fermilab        |         1 |     4,869 |     4,079 |  14,592.5 |      9,608 |      0.74 | -0.20 |    74 |   -20
  11  | BNL_ATLAS_2            | glow            |         1 |     2,350 |    -1,232 |  18,996.2 |    -19,797 |      0.78 |  0.07 |    78 |     7
  12  | BNL_ATLAS_2            | hcc             |         1 |     4,768 |    -9,901 |  14,644.9 |     -3,570 |      0.36 |  0.34 |    36 |    34
  13  | BNL_ATLAS_2            | ilc             |         1 |        24 |      -394 |       3.6 |        -23 |      0.14 | -0.16 |    14 |   -16
  14  | BNL_ATLAS_2            | microboone      |         1 |         0 |        -1 |         0 |          0 |      0.00 | -0.02 |     0 |    -2
  15  | BNL_ATLAS_2            | nova            |         1 |         0 |       -40 |         0 |        -26 |      0.00 | -0.34 |     0 |   -34
  16  | BNL_ATLAS_2            | osg             |         1 |     6,894 |    -6,260 |  76,770.1 |    -62,308 |      0.81 | -0.05 |    81 |    -5
  17  | BNL_ATLAS_3            | atlas           |         1 |   172,310 |   -61,315 | 403,799.2 |    -48,296 |      0.87 |  0.05 |    87 |     5
  18  | BNL_ATLAS_3            | atlas           |         2 |    24,468 |   -62,513 |   2,044.5 |     -2,953 |      0.41 |  0.17 |    20 |     8
  19  | BNL_ATLAS_3            | atlas           |         8 |    64,891 |    20,271 | 175,775.7 |    -13,393 |      6.04 | -0.71 |    75 |    -9
  20  | BNL_ATLAS_3            | ilc             |         1 |        65 |      -453 |       8.4 |        -23 |      0.13 | -0.21 |    13 |   -21
  21  | BNL_ATLAS_4            | atlas           |         1 |   172,160 |   -73,318 | 400,967.7 |    -78,371 |      0.87 |  0.05 |    87 |     5
  22  | BNL_ATLAS_4            | atlas           |         2 |    24,486 |   -62,465 |   2,017.6 |     -2,914 |      0.40 |  0.16 |    20 |     8
  23  | BNL_ATLAS_4            | atlas           |         8 |    61,431 |    13,240 | 167,120.6 |    -19,231 |      6.00 | -0.59 |    75 |    -7
  24  | BNL_ATLAS_4            | ilc             |         1 |        83 |      -357 |      11.9 |        -15 |      0.15 | -0.19 |    15 |   -19
  25  | BNL_ATLAS_6            | atlas           |         1 |   186,490 |   -63,491 | 441,760.4 |    -43,524 |      0.87 |  0.05 |    87 |     5
  26  | BNL_ATLAS_6            | atlas           |         2 |    24,491 |   -61,544 |   2,047.9 |     -2,897 |      0.40 |  0.16 |    20 |     8
  27  | BNL_ATLAS_6            | atlas           |         8 |    71,316 |    22,628 | 191,392.0 |    -12,916 |      6.01 | -0.71 |    75 |    -9
  28  | BNL_ATLAS_6            | ilc             |         1 |        82 |      -397 |      12.4 |        -16 |      0.14 | -0.20 |    14 |   -20
  29  | BNL_ATLAS_7            | atlas           |         1 |   175,269 |   -47,167 | 393,750.5 |    -33,170 |      0.86 |  0.04 |    86 |     4
  30  | BNL_ATLAS_7            | atlas           |         2 |    24,472 |   -62,713 |   2,110.4 |     -2,882 |      0.42 |  0.18 |    21 |     9
  31  | BNL_ATLAS_7            | atlas           |         8 |    63,816 |    21,518 | 168,188.6 |     -4,325 |      5.95 | -0.74 |    74 |   -10
  32  | BNL_ATLAS_7            | ilc             |         1 |        60 |      -418 |       8.2 |        -19 |      0.14 | -0.21 |    14 |   -21
  33  | BNL_ATLAS_8            | atlas           |         1 |    27,449 |   -20,718 | 166,058.7 |     71,282 |      0.56 |  0.13 |    56 |    13
  34  | CHTC                   | glow            |         1 |   461,703 |  -424,292 | 1,768,445.6 |     27,091 |      0.00 |  0.00 |     0 |     0
  35  | CHTC                   | glow            |         2 |     1,379 |     1,379 |  10,967.6 |     10,967 |      0.00 |  0.00 |     0 |     0
  36  | CHTC                   | glow            |         3 |        93 |        93 |       6.1 |          6 |      0.00 |  0.00 |     0 |     0
  37  | CHTC                   | glow            |         4 |     1,599 |     1,177 |  10,712.0 |     10,022 |      0.00 |  0.00 |     0 |     0
  38  | CIT_CMS_T2             | atlas           |         1 |    37,761 |   -32,826 | 159,424.4 |   -385,902 |      0.94 |  0.01 |    94 |     1
  39  | CIT_CMS_T2             | cms             |         1 |    13,665 |    -6,774 |     240.0 |    -47,917 |      0.18 | -0.67 |    18 |   -67
  40  | CIT_CMS_T2             | cms             |         8 |     6,804 |    -1,702 | 127,940.7 |    -33,313 |      4.64 | -0.28 |    58 |    -3
  41  | CIT_CMS_T2             | fermilab        |         1 |         0 |      -829 |         0 |     -3,377 |      0.00 | -0.73 |     0 |   -73
  42  | CIT_CMS_T2             | fermilab        |         8 |     2,916 |     1,442 |   7,472.3 |      3,890 |      6.28 |  0.91 |    78 |    11
  43  | CIT_CMS_T2             | glow            |         1 |         0 |    -1,038 |         0 |    -24,426 |      0.00 | -0.80 |     0 |   -80
  44  | CIT_CMS_T2             | glow            |         8 |     5,438 |     3,257 |  38,548.5 |      9,011 |      5.12 | -0.48 |    64 |    -6
  45  | CIT_CMS_T2             | hcc             |         1 |         0 |       -74 |         0 |     -2,337 |      0.00 | -0.29 |     0 |   -29
  46  | CIT_CMS_T2             | hcc             |         8 |       842 |       140 |  18,058.4 |       -761 |      3.94 |  1.18 |    49 |    15
  47  | CIT_CMS_T2             | ilc             |         1 |        68 |       -79 |      10.9 |        -44 |      0.08 | -0.22 |     8 |   -22
  48  | CIT_CMS_T2             | microboone      |         1 |         0 |        -1 |         0 |          0 |      0.00 | -0.01 |     0 |    -1
  49  | CIT_CMS_T2             | nova            |         1 |         0 |        -4 |         0 |         -1 |      0.00 |  0.00 |     0 |     0
  50  | CIT_CMS_T2             | nova            |         8 |         0 |       -20 |         0 |         -7 |      0.00 | -0.01 |     0 |     0
  51  | CIT_CMS_T2             | osg             |         1 |         0 |      -793 |         0 |    -35,401 |      0.00 | -0.93 |     0 |   -93
  52  | CIT_CMS_T2             | osg             |         8 |     6,454 |     5,049 |  43,682.8 |      3,876 |      5.26 | -0.74 |    66 |    -9
  53  | CIT_CMS_T2             | sbgrid          |         1 |         0 |       -42 |         0 |       -347 |      0.00 | -0.94 |     0 |   -94
  54  | CIT_CMS_T2             | sbgrid          |         8 |       497 |       357 |   2,887.0 |      2,665 |      5.72 |  1.16 |    72 |    15
  55  | CIT_CMS_T2B            | cms             |         1 |    13,421 |    -6,911 |     232.7 |    -45,329 |      0.18 | -0.67 |    18 |   -67
  56  | CIT_CMS_T2B            | cms             |         8 |     7,598 |    -2,511 | 159,266.8 |    -67,485 |      4.74 | -0.13 |    59 |    -2
  57  | CIT_CMS_T2B            | fermilab        |         1 |         0 |      -858 |         0 |     -2,744 |      0.00 | -0.71 |     0 |   -71
  58  | CIT_CMS_T2B            | fermilab        |         8 |     4,723 |     2,979 |  16,424.7 |      9,893 |      6.16 |  0.22 |    77 |     3
  59  | CIT_CMS_T2B            | glow            |         1 |         0 |      -922 |         0 |    -28,114 |      0.00 | -0.78 |     0 |   -78
  60  | CIT_CMS_T2B            | glow            |         8 |     7,771 |     4,613 |  54,532.0 |     12,506 |      5.19 | -0.43 |    65 |    -5
  61  | CIT_CMS_T2B            | hcc             |         1 |         0 |       -58 |         0 |     -1,708 |      0.00 | -0.29 |     0 |   -29
  62  | CIT_CMS_T2B            | ilc             |         1 |        87 |       -33 |      15.7 |        -36 |      0.21 | -0.21 |    21 |   -21
  63  | CIT_CMS_T2B            | microboone      |         1 |         0 |        -1 |         0 |          0 |      0.00 |  0.00 |     0 |     0
