

OSG efficiency summary by Site & VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------------------------------
  #   | Site                   | VO              |     Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall | Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------------------------------
  1   | AGLT2_CE_2             | osg             |         1 |         0 |   -11,429 |         0 |    -18,153 |      0.00 | -0.79 |     0 |   -79
  2   | AGLT2_SL6              | atlas           |         1 |    43,429 |   -41,193 | 180,347.9 |   -247,358 |      0.96 |  0.01 |    96 |     1
  3   | AGLT2_SL6              | atlas           |         8 |    11,832 |   -34,860 |  25,711.9 |   -102,203 |      5.51 | -0.15 |    69 |    -2
  4   | ATLASConnect           | atlas           |         1 |    51,871 |   -27,237 |  32,250.2 |     11,703 |      0.31 | -0.22 |    31 |   -22
  5   | BNL_ATLAS_2            | atlas           |         1 |     3,198 |   -22,047 |   7,519.4 |    -63,440 |      0.83 | -0.08 |    83 |    -8
  6   | BNL_ATLAS_2            | atlas           |         2 |     1,889 |    -4,463 |     162.4 |       -356 |      0.41 |  0.02 |    20 |     0
  7   | BNL_ATLAS_2            | atlas           |         8 |     1,305 |    -8,838 |   2,799.9 |    -26,385 |      4.51 | -2.07 |    56 |   -26
  8   | BNL_ATLAS_2            | cms             |         1 |         0 |    -1,882 |         0 |        -11 |      0.00 | -0.10 |     0 |   -10
  9   | BNL_ATLAS_2            | fermilab        |         1 |        18 |    -1,440 |     236.9 |     -3,163 |      0.98 |  0.30 |    98 |    30
  10  | BNL_ATLAS_2            | glow            |         1 |        30 |    -1,066 |     225.5 |     -4,659 |      0.87 |  0.04 |    87 |     4
  11  | BNL_ATLAS_2            | hcc             |         1 |        76 |      -883 |   1,709.1 |     -2,202 |      0.99 |  0.20 |    99 |    20
  12  | BNL_ATLAS_2            | ilc             |         1 |         0 |       -12 |         0 |         -1 |      0.00 | -0.13 |     0 |   -13
  13  | BNL_ATLAS_2            | osg             |         1 |       110 |    -1,358 |   1,790.0 |    -15,934 |      0.80 | -0.07 |    80 |    -7
  14  | BNL_ATLAS_3            | atlas           |         1 |    22,771 |   -23,807 |  56,314.8 |    -78,080 |      0.87 | -0.03 |    87 |    -3
  15  | BNL_ATLAS_3            | atlas           |         2 |     2,736 |    -4,159 |     243.3 |       -315 |      0.42 |  0.03 |    21 |     1
  16  | BNL_ATLAS_3            | atlas           |         8 |     8,683 |   -16,164 |  22,249.4 |    -31,430 |      5.11 | -0.94 |    64 |   -12
  17  | BNL_ATLAS_3            | ilc             |         1 |         0 |       -56 |         0 |         -6 |      0.00 | -0.13 |     0 |   -13
  18  | BNL_ATLAS_4            | atlas           |         1 |    22,291 |   -24,362 |  53,697.8 |    -76,522 |      0.87 | -0.03 |    87 |    -3
  19  | BNL_ATLAS_4            | atlas           |         2 |     2,732 |    -4,164 |     215.2 |       -331 |      0.38 |  0.01 |    19 |     0
  20  | BNL_ATLAS_4            | atlas           |         8 |     8,034 |   -16,064 |  20,631.4 |    -30,967 |      4.97 | -1.01 |    62 |   -13
  21  | BNL_ATLAS_4            | ilc             |         1 |         0 |       -71 |         0 |         -9 |      0.00 | -0.15 |     0 |   -15
  22  | BNL_ATLAS_6            | atlas           |         1 |    24,904 |   -30,878 |  59,834.5 |    -98,296 |      0.86 | -0.04 |    86 |    -4
  23  | BNL_ATLAS_6            | atlas           |         2 |     2,735 |    -4,167 |     225.2 |       -331 |      0.39 |  0.01 |    20 |     1
  24  | BNL_ATLAS_6            | atlas           |         8 |     9,767 |   -18,933 |  24,842.1 |    -39,184 |      5.01 | -1.02 |    63 |   -12
