+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| del_JUR                                | Period     | Status | Processors | Njobs | CpuUserDuration | CpuSystemDuration | WallDuration |
+----------------------------------------+------------+--------+------------+-------+-----------------+-------------------+--------------+
| call del_JUR_from_Summary(1294675220); | 2014-04-07 | 0      |          1 |     1 |           50289 |                12 |        88261 |
| call del_JUR_from_Summary(1294863787); | 2014-04-07 | 0      |          1 |     1 |           46510 |                24 |       103591 |
| call del_JUR_from_Summary(1294926969); | 2014-04-07 | 0      |          1 |     1 |           22864 |                16 |        90196 |
| call del_JUR_from_Summary(1294926972); | 2014-04-07 | 0      |          1 |     1 |           12497 |                 2 |        89215 |
| call del_JUR_from_Summary(1294956978); | 2014-04-08 | 0      |          1 |     1 |           57050 |                17 |        90039 |
| call del_JUR_from_Summary(1294963543); | 2014-04-08 | 0      |          1 |     1 |            4733 |                 0 |        88183 |
| call del_JUR_from_Summary(1294963545); | 2014-04-08 | 0      |          1 |     1 |           25960 |                63 |        94293 |
| call del_JUR_from_Summary(1295004226); | 2014-04-08 | 0      |          1 |     1 |           37801 |                12 |        93877 |
| call del_JUR_from_Summary(1295004227); | 2014-04-08 | 0      |          1 |     1 |           33023 |                38 |        96875 |
| call del_JUR_from_Summary(1295007676); | 2014-04-08 | 0      |          1 |     1 |            6291 |                 3 |        91476 |
| call del_JUR_from_Summary(1295007677); | 2014-04-08 | 0      |          1 |     1 |           23023 |                11 |       117316 |
| call del_JUR_from_Summary(1295007678); | 2014-04-08 | 0      |          1 |     1 |           15126 |                 1 |        98679 |
| call del_JUR_from_Summary(1295007679); | 2014-04-08 | 0      |          1 |     1 |           48058 |                17 |       121090 |
| call del_JUR_from_Summary(1295011183); | 2014-04-08 | 0      |          1 |     1 |           21130 |                11 |        93024 |
| call del_JUR_from_Summary(1295011186); | 2014-04-08 | 0      |          1 |     1 |            6149 |                 1 |        94560 |
| call del_JUR_from_Summary(1295011187); | 2014-04-08 | 0      |          1 |     1 |           15157 |                 1 |        93818 |
| call del_JUR_from_Summary(1295011188); | 2014-04-08 | 0      |          1 |     1 |           22682 |                23 |        93639 |
| call del_JUR_from_Summary(1295011190); | 2014-04-08 | 0      |          1 |     1 |           38389 |                 4 |        93712 |
| call del_JUR_from_Summary(1295011192); | 2014-04-08 | 0      |          1 |     1 |           22931 |                 9 |        93992 |
| call del_JUR_from_Summary(1295011193); | 2014-04-08 | 0      |          1 |     1 |           21974 |                 6 |        97058 |
| call del_JUR_from_Summary(1295011196); | 2014-04-08 | 0      |          1 |     1 |           50993 |                16 |        87224 |
| call del_JUR_from_Summary(1295011197); | 2014-04-08 | 0      |          1 |     1 |           20483 |                 5 |       101739 |
| call del_JUR_from_Summary(1295011198); | 2014-04-08 | 0      |          1 |     1 |            8193 |                 2 |        90897 |
| call del_JUR_from_Summary(1295011202); | 2014-04-08 | 0      |          1 |     1 |           34954 |                 8 |        86621 |
