"Id","User","Host","db","Command","Time","State","Info"
111536,"reader","gratiaweb1.grid.iu.edu:51393","gratia","Query",20241,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'numi'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
111537,"reader","gratiaweb2.grid.iu.edu:37952","gratia","Query",20241,"Copying to tmp table","SELECT
                   VO.VOName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-07 00:00:00'         AND
                R.EndTime < '2014-09-02 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'osg$|glow|hcc|engage|sbgrid|gluex'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   VO.VOName   ,
                time"
111538,"reader","gratiaweb2.grid.iu.edu:37953","gratia","Query",20241,"Copying to tmp table","SELECT
                   VO.VOName   ,
                   sum(R.Cores*R.WallDuration)/3600 as WallHours   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                
            WHERE
                R.EndTime >= '2013-09-07 00:00:00'         AND
                R.EndTime < '2014-09-02 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'osg$|glow|hcc|engage|sbgrid|gluex'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'     AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                R.CommonName regexp '.*'   
                    
            GROUP BY 
                   VO.VOName   
               HAVING sum(R.Cores*R.WallDuration)/3600 >= 10"
111539,"reader","gratiaweb2.grid.iu.edu:37954","gratia","Query",20241,"Copying to tmp table","SELECT
                   VO.VOName   ,
                   sum(R.Njobs)   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                
            WHERE
                R.EndTime >= '2013-09-07 00:00:00'         AND
                R.EndTime < '2014-09-02 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'osg$|glow|hcc|engage|sbgrid|gluex'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'     AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                R.CommonName regexp '.*'   
                    
            GROUP BY 
                   VO.VOName"
111540,"reader","gratiaweb2.grid.iu.edu:37956","gratia","Query",20239,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'minerva'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
111894,"reader","gratiaweb-itb.grid.iu.edu:54868","gratia","Query",18406,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'argoneut'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
111895,"reader","gratiaweb2.grid.iu.edu:38158","gratia","Query",18406,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'mcdrd'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
111896,"reader","gratiaweb1.grid.iu.edu:51581","gratia","Query",18404,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'gcedu'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
111941,"reader","gratiaweb-itb.grid.iu.edu:54871","gratia","Query",18106,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'mars'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
111942,"reader","gratiaweb2.grid.iu.edu:38213","gratia","Query",18106,"Copying to tmp table","SELECT
                   S.SiteName   ,
                truncate( unix_timestamp(EndTime) / 604800   , 0 ) * 604800    as time,
                   sum(Cores*WallDuration)/3600   
            FROM
                MasterSummaryData R
            JOIN
                Probe P on R.ProbeName = P.probename
            JOIN
                Site S on S.siteid = P.siteid
            JOIN
                VONameCorrection VC ON (VC.corrid=R.VOcorrid)
            JOIN
                VO on (VC.void = VO.void)
                 
            WHERE
                R.EndTime >= '2013-09-02 00:00:00'         AND
                R.EndTime < '2014-09-01 23:59:59'       AND
                S.SiteName regexp '.*'        AND
                VO.VOName regexp 'gendetrd'  AND
                VC.VOName regexp '.*'    AND
                (NOT (VC.VOName regexp 'NONE'           )) AND
                (R.ResourceType regexp '^Batch$'             or R.ResourceType = '') AND
                R.CommonName regexp '.*'    AND
                ('true'            ='true' OR ApplicationExitCode=0) AND
                ('true'              ='true' OR ApplicationExitCode!=0) AND
                (NOT (S.SiteName regexp 'NONE|Generic|Obsolete'               )) AND
                (NOT (R.CommonName regexp 'NONE'           )) AND
                (NOT (VO.VOName regexp 'Unknown|unknown|other'         )) AND
                R.WallDuration < 1100000000 AND
                R.ProbeName regexp '.*'    
                   AND WallDuration > 0   
            GROUP BY 
                   S.SiteName   ,
                time"
