#RecordID,ResourceType,ProbeName,Raw_SiteName,Host_description,Host,ResourceGroup,OIM_SiteName,SuccessfulMatch#
submit-3.chtc.wisc.edu:1128702.2113,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,atlas26.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.2252,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e305.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2544192.147,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,atlas28.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1188136.12331,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,aci-223.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:742187.1270,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,atlas90.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:709641.2417,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e345.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:709641.2414,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e235.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1688390.224,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e025.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3686816.1831,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e402.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:3686816.1836,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e262.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:825860.1388,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e374.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3686816.2225,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e402.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:3207767.3405,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e315.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2539460.155,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e131.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:2991464.3138,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e418.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:3336452.5477,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e437.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1320520.3568,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e393.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2505054.701,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,pc-c220m4-r01-19.wisc.cloudlab.us (primary) ,,,Failure
sugar-dev2.phy.syr.edu:482927.1597,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e369.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:3259475.411,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e239.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1367666.12377,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e093.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1726758.8724,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e300.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sub-simprod.icecube.wisc.edu:18134.99,Payload,condor:sub-simprod.icecube.wisc.edu,WIPAC,e407.chtc.wisc.edu,e407.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1163736.276,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e355.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:900221.1195,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,atlas37.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.1217,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e434.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:103963.7667,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c008.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1775109.7996,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e338.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2528103.3090,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e392.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1726758.5428,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e098.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:973378.1133,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e437.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1688390.324,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e272.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1320520.5535,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e300.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:3916508.13,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,atlas86.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1688390.329,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e226.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2636817.436,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e347.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2577642.276,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e433.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2901081.273,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e426.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2901081.270,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e293.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1069036.1035,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,mem2.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2901081.277,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e397.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2577642.271,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,atlas60.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:886433.4798,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e316.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3259475.1161,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e320.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:944331.1076,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e251.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1535892.1981,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e315.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:886433.4792,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e014.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3686816.4716,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e308.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1004003.2289,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e301.chtc.wisc.edu (primary) ,,,Failure
xd-login.opensciencegrid.org:309647.915,Payload,condor:xd-login.opensciencegrid.org,XD-LOGIN,GLOW,e357.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:2821033.2999,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e129.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2498102.358,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,c220g1-030817.wisc.cloudlab.us (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3916508.3623,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e319.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1004003.124,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e133.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2901081.515,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e401.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1113379.1237,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e300.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:2528103.1768,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e315.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:684946.7330,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,atlas21.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1082951.1506,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e432.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:3504335.5558,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e143.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:1893469.8726,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e335.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:944331.879,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e453.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1775109.4077,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e305.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:813068.963,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e058.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1367666.14601,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e146.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-5.chtc.wisc.edu:2505054.442,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,pc-c220m4-r01-20.wisc.cloudlab.us (primary) ,,,Failure
submit-5.chtc.wisc.edu:2636817.510,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e347.chtc.wisc.edu (primary) ,,,Failure
submit-5.chtc.wisc.edu:3336452.4059,Payload,condor:submit-5.chtc.wisc.edu,CHTC,wisc.edu,e280.chtc.wisc.edu (primary) ,,,Failure
submit-3.chtc.wisc.edu:1702987.32,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e058.chtc.wisc.edu (primary) ,,,Failure
sugar-dev2.phy.syr.edu:1726758.7948,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e270.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:4113732.6917,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,c081.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:103963.9409,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e275.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
sugar-dev2.phy.syr.edu:2127333.3488,Payload,condor:sugar-dev2.phy.syr.edu,Syracuse University LIGO Group,GLOW,e314.chtc.wisc.edu (primary) ,GLOW,GLOW,Success
submit-3.chtc.wisc.edu:1702987.38,Payload,condor:submit-3.chtc.wisc.edu,CHTC,wisc.edu,e292.chtc.wisc.edu (primary) ,,,Failure
