[Sun Apr 02 03:41:07 2017] [notice] Digest: generating secret for digest authentication ...
[Sun Apr 02 03:41:07 2017] [notice] Digest: done
[Sun Apr 02 03:41:08 2017] [notice] Apache/2.2.15 (Unix) DAV/2 PHP/5.3.3 mod_ssl/2.2.15 OpenSSL/1.0.1e-fips configured -- resuming normal operations
[Sun Apr 02 07:10:14 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/CHANGELOG.txt
[Sun Apr 02 07:10:14 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/drupal
[Sun Apr 02 07:10:14 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/site
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/store
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/test
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/shop
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/forum
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/CHANGELOG.txt
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/blog
[Sun Apr 02 07:10:15 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/drupal
[Sun Apr 02 07:10:16 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/site
[Sun Apr 02 07:10:16 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/store
[Sun Apr 02 07:10:16 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/test
[Sun Apr 02 07:10:16 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/shop
[Sun Apr 02 07:10:16 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/forum
[Sun Apr 02 07:10:17 2017] [error] [client 5.178.71.146] File does not exist: /var/www/html/blog
[Sun Apr 02 07:29:10 2017] [error] [client 66.102.9.60] File does not exist: /var/www/html/favicon.ico
[Sun Apr 02 14:44:21 2017] [error] [client 179.223.46.165] File does not exist: /var/www/html/hndUnblock.cgi
[Sun Apr 02 14:44:22 2017] [error] [client 179.223.46.165] File does not exist: /var/www/html/tmUnblock.cgi
[Sun Apr 02 14:44:23 2017] [error] [client 179.223.46.165] File does not exist: /var/www/html/cgi
[Sun Apr 02 14:44:23 2017] [error] [client 179.223.46.165] script not found or unable to stat: /var/www/cgi-bin/cgiSrv.cgi
[Sun Apr 02 15:08:14 2017] [error] [client 66.102.9.60] File does not exist: /var/www/html/favicon.ico, referer: http://gratiaweb.grid.iu.edu/gratia/bysite?starttime=2017-03-03+21%3A31%3A46&endtime=2017-03-14+21%3A31%3A46&span=86400&relativetime=absolute&facility=&exclude-facility=&vo=nova&exclude-vo=&user=&exclude-dn=
[Sun Apr 02 15:32:17 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon-152x152-precomposed.png
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon-152x152.png
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon.png
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/favicon.ico
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon-152x152-precomposed.png
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon-152x152.png
[Sun Apr 02 15:32:18 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Sun Apr 02 15:32:19 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/apple-touch-icon.png
[Sun Apr 02 15:32:19 2017] [error] [client 24.59.8.224] File does not exist: /var/www/html/favicon.ico
[Sun Apr 02 15:49:35 2017] [error] [client 66.102.9.60] File does not exist: /var/www/html/favicon.ico
[Sun Apr 02 18:09:19 2017] [error] [client 81.35.55.77] File does not exist: /var/www/html/favicon.ico
[Sun Apr 02 21:40:41 2017] [error] [client 81.35.55.77] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 01:20:27 2017] [error] [client 183.129.160.229] File does not exist: /var/www/html/onvif
[Mon Apr 03 02:49:17 2017] [error] [client 183.129.160.229] File does not exist: /var/www/html/onvif
[Mon Apr 03 11:18:57 2017] [error] [client 66.102.9.62] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 14:33:24 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 15:45:18 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 15:45:18 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 15:45:18 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 15:45:19 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 15:45:19 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 15:45:19 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 15:45:20 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 15:45:20 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 15:45:20 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 15:45:20 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 15:45:21 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 15:45:21 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 16:48:28 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 16:48:28 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 16:48:28 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 16:48:28 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 16:48:29 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 16:48:29 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 16:48:29 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 16:48:30 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 16:48:30 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 16:48:30 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 16:48:30 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 16:48:30 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 18:39:27 2017] [error] [client 81.35.55.77] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 18:39:32 2017] [error] [client 81.35.55.77] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 18:53:33 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 18:53:33 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 18:53:33 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 18:53:33 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 18:53:33 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 18:53:33 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 18:53:34 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 18:53:34 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 18:53:34 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 18:53:34 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 18:53:34 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 18:53:35 2017] [error] [client 128.150.201.206] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon.png
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/favicon.ico
[Mon Apr 03 21:34:46 2017] [error] [client 35.9.71.123] File does not exist: /var/www/html/apple-touch-icon-precomposed.png
