[02/Apr/2017:09:54:55 +0000] 47.150.129.197 TLSv1 ECDHE-RSA-AES256-SHA "GET /robots.txt HTTP/1.1" 26
[03/Apr/2017:20:43:20 +0000] 207.46.13.106 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /robots.txt HTTP/1.1" 26
[04/Apr/2017:02:09:04 +0000] 5.45.110.136 TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256 "GET / HTTP/1.1" 55
[04/Apr/2017:04:15:26 +0000] 178.255.87.242 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "HEAD /robots.txt HTTP/1.1" -
[04/Apr/2017:18:00:20 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.1" 55
[04/Apr/2017:18:00:41 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET /login.html HTTP/1.1" 288
[04/Apr/2017:18:01:16 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET http://Qualys.null/ HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:17 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:18 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
[04/Apr/2017:18:01:21 +0000] 10.79.217.2 TLSv1.2 ECDHE-RSA-AES256-GCM-SHA384 "GET / HTTP/1.0" 55
