

OSG efficiency summary by VO for  2017-04-01 - 2017-05-01 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-01 and 2017-05-01 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------
  #   | VO              |   Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall |     Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------
  1   | aclcntrl (nr)   |       1 |       111 |       -79 |     262.7 |        -85 |      0.96 |     -0.40 |    96 |   -40
  2   | alice           |       1 |   166,843 |       248 | 942,160.3 |    -59,129 |      0.72 |      0.00 |    72 |     0
  3   | annie           |       1 |    28,269 |    28,269 |  17,234.4 |     17,234 |      0.34 |      0.34 |    34 |    34
  4   | argoneut        |       1 |    24,284 |      -587 |   7,599.9 |        515 |      0.82 |      0.04 |    82 |     4
  5   | atlas           |       1 | 4,252,486 | -1,391,684 | 12,669,896.2 | -2,400,855 |      0.90 |      0.08 |    90 |     8
  6   | atlas           |       2 |   223,016 |  -429,307 | 237,508.4 |   -141,846 |      0.97 |      0.07 |    49 |     4
  7   | atlas           |       4 |    94,298 |    25,702 | 458,111.4 |    -37,342 |      3.15 |      0.76 |    79 |    19
  8   | atlas           |       8 | 1,172,002 |    87,829 | 2,751,187.1 |   -647,989 |      5.34 |     -1.20 |    67 |   -15
  9   | atlas           |      16 |    22,014 |   -24,233 |  11,826.4 |     -4,384 |      6.53 |     -4.37 |    41 |   -27
  10  | belle           |       1 |     8,896 |     2,470 |   2,308.9 |    -19,889 |      0.57 |     -0.25 |    57 |   -25
  11  | bitp (nr)       |       1 |         0 |        -4 |         0 |       -181 |      0.00 |      0.00 |     0 |     0
  12  | booster (nr)    |       1 |        57 |        54 |      27.5 |         27 |     10.70 |    -20.86 | 1,070 | -2,086
  13  | booster (nr)    |       2 |         0 |        -2 |         0 |          0 |      0.00 |    -63.14 |     0 | -3,157
  14  | booster (nr)    |       4 |       130 |        74 |   2,365.1 |      1,868 |    127.72 |     -0.03 | 3,193 |    -1
  15  | cdf             |       1 |    72,762 |    22,122 | 233,229.2 |     55,575 |      0.66 |      0.24 |    66 |    24
  16  | cdms            |       1 |     7,790 |     7,780 |  79,970.0 |     79,969 |      0.85 |      0.85 |    85 |    85
  17  | ciconnect (nr)  |       8 |    16,697 |    -2,746 |  17,925.1 |    -36,769 |      1.99 |     -0.70 |    25 |    -9
  18  | cms             |       1 |   934,388 | -1,208,918 | 1,423,399.2 |   -948,365 |      0.62 |      0.01 |    62 |     1
  19  | cms             |       2 |   105,178 |   -81,985 | 315,064.4 |   -157,619 |      0.92 |      0.06 |    46 |     3
  20  | cms             |       3 |       140 |    -1,557 |     395.9 |       -791 |      0.40 |      0.13 |    13 |     4
  21  | cms             |       4 |    55,046 |   -64,875 | 171,528.2 |    -11,515 |      0.98 |      0.01 |    24 |     0
  22  | cms             |       5 |         0 |       -12 |         0 |        -12 |      0.00 |     -0.02 |     0 |     0
  23  | cms             |       6 |       546 |       545 |     164.3 |        163 |      0.89 |      0.87 |    15 |    15
  24  | cms             |       7 |         1 |         1 |       0.1 |          0 |      0.00 |      0.00 |     0 |     0
  25  | cms             |       8 |   354,518 |   -11,774 | 3,618,848.2 | -1,075,812 |      4.43 |      0.08 |    55 |     1
  26  | cms             |      10 |    58,862 |    36,479 | 282,006.4 |    -41,724 |      4.95 |     -0.49 |    49 |    -5
  27  | cms             |      24 |        83 |      -740 |     120.9 |     -1,908 |     16.53 |     15.90 |    69 |    66
  28  | cms             |      56 |     1,105 |    -1,097 |  12,370.2 |     -4,440 |      2.63 |      1.14 |     5 |     2
  29  | cms-mt-tests (nr) |       1 |         1 |       -71 |         0 |       -143 |      0.00 |    -84.16 |     0 | -8,416
  30  | connect (nr)    |       1 |         0 |  -659,198 |         0 |   -166,183 |      0.00 |     -0.73 |     0 |   -73
  31  | connect (nr)    |       8 |         0 |  -130,010 |         0 |     -2,322 |      0.00 |     -2.99 |     0 |   -37
  32  | coupp           |       1 |     2,779 |     2,779 |   1,955.5 |      1,955 |      0.11 |      0.11 |    11 |    11
  33  | darkside        |       1 |    36,725 |    14,671 | 100,845.4 |      2,872 |      0.61 |     -0.24 |    61 |   -24
  34  | des             |       1 |   156,134 |   -70,104 | 197,457.9 |   -108,935 |      0.58 |      0.10 |    58 |    10
  35  | des             |       2 |       358 |      -107 |     384.1 |       -461 |      0.71 |     -0.06 |    35 |    -4
  36  | des             |       4 |    27,288 |     8,175 |  71,375.7 |     35,075 |      1.24 |      0.03 |    31 |     1
  37  | des             |       8 |         4 |    -1,176 |         0 |       -421 |      0.00 |     -0.93 |     0 |   -12
  38  | des             |      16 |         0 |        -4 |         0 |        -18 |      0.00 |    -10.00 |     0 |   -63
  39  | des             |      20 |         0 |       -70 |         0 |       -609 |      0.00 |    -13.91 |     0 |   -70
  40  | des             |      30 |     1,451 |       472 |  16,815.9 |      8,468 |     19.20 |      5.78 |    64 |    19
  41  | des             |      40 |         0 |        -1 |         0 |          0 |      0.00 |      0.00 |     0 |     0
  42  | desnnet (nr)    |       1 |       101 |        15 |     216.4 |        175 |      1.38 |      0.32 |   138 |    32
  43  | desnnet (nr)    |       2 |         0 |        -1 |         0 |          0 |      0.00 |     -0.71 |     0 |   -36
  44  | dosar           |       1 |   146,570 |  -218,880 | 634,702.2 |    266,432 |      0.94 |      0.11 |    94 |    11
  45  | dosar           |       2 |         3 |      -388 |         0 |        -26 |      0.00 |     -0.78 |     0 |   -39
  46  | dosar           |       3 |         2 |         2 |       1.0 |          1 |      1.54 |      1.54 |    51 |    51
  47  | dosar           |       4 |       103 |       -46 |      35.9 |       -356 |      2.95 |      1.11 |    74 |    28
  48  | dosar           |       5 |         3 |         2 |       4.6 |        -32 |      1.00 |     -4.00 |    20 |   -80
  49  | dosar           |       8 |       176 |        92 |     703.1 |        493 |      6.55 |     -0.89 |    82 |   -11
  50  | dosar           |      10 |       244 |       214 |      54.6 |         12 |      1.83 |     -8.12 |    18 |   -81
  51  | dosar           |      11 |        28 |        28 |      33.9 |         33 |      4.31 |      4.31 |    39 |    39
  52  | dosar           |      12 |         8 |       -47 |       7.7 |        -98 |      2.67 |     -1.93 |    22 |   -16
  53  | dosar           |      16 |     6,403 |    -3,575 |   1,219.2 |     -2,081 |     11.17 |     -0.75 |    70 |    -4
  54  | dosar           |      20 |    33,028 |   -18,642 |  14,845.6 |     -2,859 |      3.50 |     -1.04 |    18 |    -5
  55  | dosar           |      23 |         9 |         1 |       0.9 |          0 |      0.00 |     -0.01 |     0 |     0
  56  | dosar           |      24 |    16,852 |    10,188 |  10,486.3 |      4,779 |     10.17 |      1.00 |    42 |     4
  57  | dosar           |      27 |         1 |         1 |       0.1 |          0 |      0.08 |      0.08 |     0 |     0
  58  | dosar           |      32 |        85 |        18 |   1,961.0 |        645 |     15.65 |     -0.62 |    49 |    -2
  59  | dosar           |      36 |       106 |       -88 |      32.1 |     -3,391 |     29.31 |     15.08 |    81 |    41
  60  | dosar           |      40 |       494 |      -211 |   1,860.6 |       -935 |      5.50 |      0.26 |    14 |     1
  61  | dosar           |      44 |       103 |        66 |      17.4 |         -7 |     31.94 |     28.57 |    73 |    65
  62  | dosar           |      48 |     3,330 |     1,434 |   1,028.4 |       -707 |     31.90 |      1.65 |    66 |     3
  63  | dosar           |      50 |         7 |         7 |       0.7 |          0 |     34.40 |     34.40 |    69 |    69
  64  | dosar           |      60 |        64 |       -56 |     780.5 |        195 |     31.00 |     -7.02 |    52 |   -11
  65  | dosar           |      64 |        13 |        11 |     423.8 |        423 |      3.28 |      1.22 |     5 |     2
  66  | dosar           |      72 |       124 |       -16 |   1,518.8 |        370 |     59.02 |     -6.06 |    82 |    -8
  67  | dosar           |      80 |       109 |      -169 |      81.3 |       -249 |     44.49 |     11.99 |    56 |    15
  68  | dosar           |      90 |         0 |        -1 |         0 |         -5 |      0.00 |    -89.35 |     0 |   -99
  69  | dosar           |      95 |         4 |        -6 |     267.8 |         87 |     94.92 |      0.26 |   100 |     0
  70  | dosar           |      96 |       998 |       628 |     373.3 |       -272 |     55.40 |    -15.17 |    58 |   -16
  71  | dosar           |     100 |        84 |    -2,958 |     221.4 |       -802 |     78.90 |      9.40 |    79 |    10
  72  | dosar           |     115 |         4 |         4 |         0 |          0 |      0.05 |      0.05 |     0 |     0
  73  | dosar           |     120 |        84 |        52 |     223.8 |        176 |    116.51 |      5.70 |    97 |     5
  74  | dosar           |     128 |         4 |       -11 |     287.4 |       -270 |     18.90 |    -91.45 |    15 |   -71
  75  | dosar           |     140 |       207 |       203 |     343.0 |        341 |    127.62 |      3.47 |    91 |     2
  76  | dosar           |     144 |        11 |       -18 |     111.1 |       -329 |     21.00 |     13.27 |    15 |    10
  77  | dosar           |     160 |        17 |        10 |       2.4 |          1 |     67.38 |    -31.54 |    42 |   -20
  78  | dosar           |     168 |        29 |        23 |      35.6 |         23 |    126.91 |    -39.91 |    76 |   -23
  79  | dosar           |     180 |         4 |         4 |      46.4 |         46 |    154.34 |    154.34 |    86 |    86
  80  | dosar           |     192 |        20 |        16 |      10.1 |          8 |    125.34 |    -53.01 |    65 |   -28
  81  | dosar           |     200 |        14 |       -38 |     151.5 |         80 |     15.75 |   -101.15 |     8 |   -50
  82  | dosar           |     216 |         1 |        -5 |       1.8 |       -446 |    179.49 |    -33.27 |    83 |   -15
  83  | dosar           |     220 |         0 |        -4 |         0 |          0 |      0.00 |   -144.50 |     0 |   -66
  84  | dosar           |     225 |         0 |       -13 |         0 |        -13 |      0.00 |    -77.47 |     0 |   -34
  85  | dosar           |     240 |        25 |       -22 |      12.7 |        -75 |    236.66 |    115.33 |    99 |    48
  86  | dosar           |     252 |         0 |        -2 |         0 |          0 |      0.00 |     -0.04 |     0 |     0
  87  | dosar           |     260 |       111 |        88 |     213.1 |        179 |    229.96 |     -5.89 |    88 |    -3
  88  | dosar           |     264 |         1 |         1 |       0.1 |          0 |      0.00 |      0.00 |     0 |     0
  89  | dosar           |     288 |         0 |        -2 |         0 |          0 |      0.00 |     -0.04 |     0 |     0
  90  | dosar           |     300 |        15 |        14 |       1.7 |          1 |    242.67 |    -47.90 |    81 |   -16
  91  | dosar           |     312 |         1 |         1 |       0.8 |          0 |    309.64 |    309.64 |    99 |    99
  92  | dosar           |     320 |       706 |      -514 |     178.2 |        -79 |    257.29 |    -12.93 |    80 |    -4
  93  | dosar           |     340 |         3 |        -6 |       7.3 |         -8 |    316.49 |     19.38 |    93 |     6
  94  | dosar           |     400 |        20 |        -4 |      45.7 |        -69 |    309.37 |    117.35 |    77 |    29
  95  | dosar           |     408 |         1 |         1 |         0 |          0 |      0.02 |      0.02 |     0 |     0
