

OSG efficiency summary by VO for  2017-04-23 - 2017-04-30 (midnight UTC - midnight UTC)
including all jobs that finished in that time period.
Wall Duration (Wall) is expressed in hours and rounded to the nearest hour. Wall
Duration is the duration between the instant the job started running
and the instant the job ended its execution.
Deltas are the differences with the previous period.
For all jobs finished between 2017-04-23 and 2017-04-30 (midnight UTC)
---------------------------------------------------------------------------------------------------------------------------------
  #   | VO              |   Cores |     Njobs |     Delta |      Wall |      Delta | CpuToWall |     Delta | %Effi | Delta
---------------------------------------------------------------------------------------------------------------------------------
  1   | aclcntrl (nr)   |       1 |        16 |         3 |      47.9 |         -2 |      0.98 |      0.02 |    98 |     2
  2   | alice           |       1 |     7,057 |   -37,463 |  49,496.7 |   -223,749 |      0.87 |      0.02 |    87 |     2
  3   | annie           |       1 |       712 |   -10,162 |   3,329.1 |       -805 |      0.76 |      0.11 |    76 |    11
  4   | atlas           |       1 |   475,338 |  -635,067 | 1,285,753.9 | -2,259,398 |      0.91 |     -0.01 |    91 |    -1
  5   | atlas           |       2 |    28,172 |   -33,307 |  17,121.1 |    -98,699 |      0.71 |     -0.27 |    35 |   -14
  6   | atlas           |       4 |     6,906 |   -22,229 |  37,151.8 |   -110,686 |      3.02 |      0.01 |    75 |     0
  7   | atlas           |       8 |   129,653 |  -254,857 | 294,111.2 |   -505,958 |      5.36 |      0.07 |    67 |     1
  8   | atlas           |      16 |     4,422 |       677 |     510.7 |     -1,529 |     11.77 |      5.07 |    74 |    32
  9   | belle           |       1 |       426 |    -1,912 |      52.1 |       -271 |      0.28 |      0.04 |    28 |     4
  10  | booster (nr)    |       1 |         6 |        -4 |       5.1 |         -3 |     11.44 |     -0.11 | 1,144 |   -11
  11  | booster (nr)    |       4 |        13 |       -50 |     170.2 |       -895 |    127.78 |      0.13 | 3,195 |     4
  12  | cdf             |       1 |     2,375 |      -950 |  19,572.7 |        734 |      0.97 |      0.06 |    97 |     6
  13  | cdms            |       1 |     2,259 |      -745 |  23,529.7 |     -6,368 |      0.83 |      0.08 |    83 |     8
  14  | ciconnect (nr)  |       8 |       615 |    -3,781 |   5,277.0 |      2,328 |      3.66 |      2.81 |    46 |    35
  15  | cms             |       1 |    65,609 |  -174,599 |  74,705.1 |   -135,788 |      0.40 |     -0.10 |    40 |   -10
  16  | cms             |       2 |     7,500 |   -24,227 |  30,414.4 |    -57,226 |      0.91 |     -0.02 |    46 |     0
  17  | cms             |       3 |        40 |        19 |     147.0 |         58 |      0.86 |      0.67 |    29 |    23
  18  | cms             |       4 |     4,753 |    -5,367 |  18,836.4 |    -27,170 |      0.92 |      0.06 |    23 |     2
  19  | cms             |       6 |        11 |      -421 |       0.1 |       -140 |      0.91 |     -0.09 |    15 |    -2
  20  | cms             |       8 |    27,603 |   -47,426 | 466,986.0 |   -788,566 |      4.42 |     -0.54 |    55 |    -7
  21  | cms             |      10 |     8,498 |   -17,457 |  45,002.2 |    -68,597 |      4.51 |     -0.62 |    45 |    -6
  22  | cms             |      56 |        27 |      -293 |     471.9 |     -3,196 |      6.89 |      2.07 |    12 |     3
  23  | cms-mt-tests (nr) |       1 |         0 |        -1 |         0 |          0 |      0.00 |      0.00 |     0 |     0
  24  | darkside        |       1 |     3,363 |    -7,671 |   2,593.9 |    -22,329 |      0.21 |     -0.33 |    21 |   -33
  25  | des             |       1 |    27,772 |   -11,720 |  66,226.9 |     20,423 |      0.60 |     -0.04 |    60 |    -4
  26  | des             |       4 |         0 |    -7,044 |         0 |    -19,009 |      0.00 |     -1.17 |     0 |   -29
  27  | des             |      30 |       147 |      -241 |   1,727.9 |     -2,763 |     19.29 |      0.19 |    64 |     0
  28  | desnnet (nr)    |       1 |         6 |       -20 |       1.4 |        -17 |      0.30 |     -0.72 |    30 |   -72
  29  | dosar           |       1 |     5,392 |    -9,638 |  53,981.2 |    -59,919 |      0.99 |      0.11 |    99 |    11
  30  | dosar           |       3 |         1 |         0 |       0.6 |          0 |      1.51 |     -0.06 |    50 |    -2
  31  | dosar           |       4 |         3 |        -9 |       0.3 |        -23 |      3.70 |      0.78 |    93 |    20
  32  | dosar           |       8 |         0 |        -1 |         0 |          0 |      0.00 |     -0.94 |     0 |   -12
